ID,Name,Age,Overall,Club,Value,Wage,Preferred Foot,Height,Weight
158023,L. Messi,31,94,FC Barcelona,€110.5M,€565K,Left,5'7,159lbs
20801,Cristiano Ronaldo,33,94,Juventus,€77M,€405K,Right,6'2,183lbs
190871,Neymar Jr,26,92,Paris Saint-Germain,€118.5M,€290K,Right,5'9,150lbs
193080,De Gea,27,91,Manchester United,€72M,€260K,Right,6'4,168lbs
192985,K. De Bruyne,27,91,Manchester City,€102M,€355K,Right,5'11,154lbs
183277,E. Hazard,27,91,Chelsea,€93M,€340K,Right,5'8,163lbs
177003,L. Modrić,32,91,Real Madrid,€67M,€420K,Right,5'8,146lbs
176580,L. Suárez,31,91,FC Barcelona,€80M,€455K,Right,6'0,190lbs
155862,Sergio Ramos,32,91,Real Madrid,€51M,€380K,Right,6'0,181lbs
200389,J. Oblak,25,90,Atlético Madrid,€68M,€94K,Right,6'2,192lbs
188545,R. Lewandowski,29,90,FC Bayern München,€77M,€205K,Right,6'0,176lbs
182521,T. Kroos,28,90,Real Madrid,€76.5M,€355K,Right,6'0,168lbs
182493,D. Godín,32,90,Atlético Madrid,€44M,€125K,Right,6'2,172lbs
168542,David Silva,32,90,Manchester City,€60M,€285K,Left,5'8,148lbs
215914,N. Kanté,27,89,Chelsea,€63M,€225K,Right,5'6,159lbs
211110,P. Dybala,24,89,Juventus,€89M,€205K,Left,5'10,165lbs
202126,H. Kane,24,89,Tottenham Hotspur,€83.5M,€205K,Right,6'2,196lbs
194765,A. Griezmann,27,89,Atlético Madrid,€78M,€145K,Left,5'9,161lbs
192448,M. ter Stegen,26,89,FC Barcelona,€58M,€240K,Right,6'2,187lbs
192119,T. Courtois,26,89,Real Madrid,€53.5M,€240K,Left,6'6,212lbs
189511,Sergio Busquets,29,89,FC Barcelona,€51.5M,€315K,Right,6'2,168lbs
179813,E. Cavani,31,89,Paris Saint-Germain,€60M,€200K,Right,6'1,170lbs
167495,M. Neuer,32,89,FC Bayern München,€38M,€130K,Right,6'4,203lbs
153079,S. Agüero,30,89,Manchester City,€64.5M,€300K,Right,5'8,154lbs
138956,G. Chiellini,33,89,Juventus,€27M,€215K,Left,6'2,187lbs
231747,K. Mbappé,19,88,Paris Saint-Germain,€81M,€100K,Right,5'10,161lbs
209331,M. Salah,26,88,Liverpool,€69.5M,€255K,Left,5'9,157lbs
200145,Casemiro,26,88,Real Madrid,€59.5M,€285K,Right,6'1,185lbs
198710,J. Rodríguez,26,88,FC Bayern München,€69.5M,€315K,Left,5'11,172lbs
198219,L. Insigne,27,88,Napoli,€62M,€165K,Right,5'4,130lbs
197781,Isco,26,88,Real Madrid,€73.5M,€315K,Right,5'9,174lbs
190460,C. Eriksen,26,88,Tottenham Hotspur,€73.5M,€205K,Right,5'11,168lbs
189242,Coutinho,26,88,FC Barcelona,€69.5M,€340K,Right,5'8,150lbs
188567,P. Aubameyang,29,88,Arsenal,€59M,€265K,Right,6'2,176lbs
178603,M. Hummels,29,88,FC Bayern München,€46M,€160K,Right,6'3,203lbs
176676,Marcelo,30,88,Real Madrid,€43M,€285K,Left,5'9,176lbs
173731,G. Bale,28,88,Real Madrid,€60M,€355K,Left,6'1,181lbs
167948,H. Lloris,31,88,Tottenham Hotspur,€36M,€150K,Left,6'2,181lbs
167664,G. Higuaín,30,88,Milan,€57M,€245K,Right,6'1,196lbs
164240,Thiago Silva,33,88,Paris Saint-Germain,€24M,€165K,Right,6'0,181lbs
162835,S. Handanovič,33,88,Inter,€30M,€110K,Right,6'4,203lbs
1179,G. Buffon,40,88,Paris Saint-Germain,€4M,€77K,Right,6'4,203lbs
205600,S. Umtiti,24,87,FC Barcelona,€57M,€205K,Left,6'0,165lbs
201399,M. Icardi,25,87,Inter,€64.5M,€130K,Right,5'11,165lbs
201024,K. Koulibaly,27,87,Napoli,€51M,€115K,Right,6'2,196lbs
195864,P. Pogba,25,87,Manchester United,€64M,€210K,Right,6'4,185lbs
193041,K. Navas,31,87,Real Madrid,€30.5M,€195K,Right,6'1,176lbs
192505,R. Lukaku,25,87,Manchester United,€62.5M,€230K,Left,6'3,207lbs
192387,C. Immobile,28,87,Lazio,€52M,€115K,Right,6'1,187lbs
189332,Jordi Alba,29,87,FC Barcelona,€38M,€250K,Left,5'7,150lbs
175943,D. Mertens,31,87,Napoli,€45M,€135K,Right,5'7,134lbs
172871,J. Vertonghen,31,87,Tottenham Hotspur,€34M,€155K,Left,6'2,190lbs
171877,M. Hamšík,30,87,Napoli,€46.5M,€125K,Right,6'0,174lbs
168651,I. Rakitić,30,87,FC Barcelona,€46.5M,€260K,Right,6'0,172lbs
152729,Piqué,31,87,FC Barcelona,€34M,€240K,Right,6'4,187lbs
222492,L. Sané,22,86,Manchester City,€61M,€195K,Left,6'0,165lbs
218667,Bernardo Silva,23,86,Manchester City,€59.5M,€180K,Left,5'8,141lbs
210257,Ederson,24,86,Manchester City,€41.5M,€125K,Left,6'2,190lbs
208722,S. Mané,26,86,Liverpool,€52M,€195K,Right,5'9,152lbs
203376,V. van Dijk,26,86,Liverpool,€44.5M,€165K,Right,6'4,203lbs
202652,R. Sterling,23,86,Manchester City,€56.5M,€195K,Right,5'7,152lbs
201942,Roberto Firmino,26,86,Liverpool,€53M,€195K,Right,5'11,168lbs
201535,R. Varane,25,86,Real Madrid,€50M,€210K,Right,6'3,179lbs
